Subject,Start date,Description
Underwater,1/9/2020,
Bad Boys For Life,1/16/2020,
Dolittle,1/16/2020,
Vanguard,1/23/2020,
Enter The Fat Dragon,1/23/2020,
Birds of Prey,2/6/2020,
Bloodshot,2/20/2020,
Sonic the Hedgenhog,2/27/2020,
Onward,3/5/2020,
A Quiet Place II,3/19/2020,
Mulan,3/26/2020,
The New Mutants,4/3/2020,
Digimon,4/16/2020,
No Time To Die,4/9/2020,
Black Widow,4/30/2020,
Fast & Furious 9,5/21/2020,
The Spongebob Movie: Sponge on the Run,5/28/2020,
Wonder Woman 1984,6/4/2020,
Soul,6/18/2020,
Top Gun: Maverick,6/25/2020,
Minions: The Rise Of Gru,7/2/2020,
Ghostbusters: Afterlife,7/9/2020,
Tenet,7/16/2020,
Jungle Cruise,7/23/2020,
Morbius,7/30/2020,
Escape Room 2,8/13/2020,
Monster Hunter,8/13/2020,
The Conjuring 3: The Devil Made Me Do It,9/10/2020,
The King's Man,9/17/2020,
Venom 2,10/1/2020,
Halloween Kills,10/15/2020,
The Eternals,11/5/2020,
Godzilla vs Kong,11/19/2020,